Document_Name;Code;Segment
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;the idea of Ukrainian people as a nation separate from ​the Russians started to form and gain ground among the Polish elite and a part ​of the Malorussian intelligentsia
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;conclusions were substantiated by all sorts of concoctions, ​which went as far as to claim that the Ukrainians are the true Slavs
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;”hypotheses“ became ​increasingly used for political purposes as a tool of rivalry between European ​states
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;Austro-Hungarian authorities had latched onto ​this narrative, using it as a counterbalance to the Polish national movement ​and pro-Muscovite sentiments in Galicia.
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;foreign intervention.
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;Germany and Austria-Hungary were at the time in a dire situation and needed Ukrainian bread and raw ​materials
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;pretext for occupation
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;those who have today given up the full control of Ukraine to external forces
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;the Polish government pursued ​an active resettlement policy, seeking to change the ethnic composition ​of the Eastern Borderlands
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;external ”patrons“
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;abroad
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;kept their stolen money in Western banks
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;persistent weakness of state institutions and the position ​of a willing hostage to someone else's geopolitical will
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;the U.S. and EU countries systematically ​and consistently pushed Ukraine to curtail and limit economic cooperation with ​Russia
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;Western countries
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;Western countries directly interfered in Ukraine's internal ​affairs and supported the coup
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;after being reined in by Western partners, ​Ukraine's representatives regularly declare their ”full adherence“ to the Minsk ​agreements, but are in fact guided by a position of ”unacceptability“.
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;they attract the attention of external patrons ​and masters by all means
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;with Russia, Germany ​and France as mediators
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;under the protection ​and control of the Western powers
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;we are witnessing not just complete ​dependence but direct external control
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;the supervision ​of the Ukrainian authorities, security services and armed forces by foreign ​advisers, military ”development“ of the territory of Ukraine and deployment ​of NATO infrastructure
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;This is also a disguise for the takeover of the rest of the Ukrainian economy ​and the exploitation of its natural resources
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;The sale of agricultural land is not ​far off, and it is obvious who will buy it up
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;with preferences and benefits for Western companies
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;The Western authors of the anti-Russia project set up the Ukrainian political ​system in such a way that presidents, members of parliament and ministers ​would change but the attitude of separation from and enmity with Russia would ​remain
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;The incumbent authorities in Ukraine like to refer to Western experience, seeing ​it as a model to follow
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;it is important for us to understand that our partner is defending its ​national interests but not serving someone else's
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Vilification of Western Encroachment;is not a tool in someone ​else's hands to fight against us
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;the so-called civilised world, which our Western colleagues ​proclaimed themselves the only representatives of, prefers not to see this, as if ​this horror and genocide, which almost 4 million people are facing, do not exist
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;supported coup in Ukraine in 2014
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;using the threat of closer ties with Russia ​for blackmailing the West to secure preferences by claiming that otherwise ​Russia would have a bigger influence in Ukraine
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;A role in this was played by external forces
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;a ramified network ​of NGOs and special services to nurture their clients in Ukraine and to bring their ​representatives to the seats of authority
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;the so-called pro-Western civilisational choice made by the oligarchic ​Ukrainian authorities
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;billions of dollars that ​the oligarchs have stolen from the Ukrainians and are holding in their accounts ​in Western banks,
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;They also ​had direct assistance from foreign states
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;the US Embassy ​provided $1 million a day to support the so-called protest camp ​on Independence Square in Kiev
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;is this the pro-Western civilisational choice they ​have been using for many years to fool millions of people with promises ​of heavenly pastures?
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;Ukraine itself was placed under external control,
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;directed not only from the Western capitals, but also on the ground, as the saying ​goes, through an entire network of foreign advisors, NGOs and other institutions ​present in Ukraine
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;the United States directly controls the National Agency on Corruption ​Prevention, the National Anti-Corruption Bureau, the Specialised Anti-Corruption ​Prosecutor's Office and the High Anti-Corruption Court
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;We have factual proof that such aggressive actions are being ​taken with support from Western security services.
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;with the assistance ​of the international community on favourable terms for Ukraine
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;with foreign military support in the geopolitical ​confrontation with the Russian Federation
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;especially if Kiev receives foreign technological ​support
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;Ukraine’s Western ​patrons may help it acquire these weapons to create yet another threat to our ​country
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;Since 2014, the United States alone has spent billions of dollars for this ​purpose, including supplies of arms and equipment and training of specialists
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;there has been a constant flow of Western weapons ​to Ukraine
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;Foreign advisors ​supervise the activities of Ukraine’s armed forces and special services
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;military contingents of NATO countries have been almost ​constantly present on Ukrainian territory under the pretext of exercises
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;The Ukrainian troop control system has already been integrated into NATO
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;NATO headquarters can issue direct commands to the Ukrainian ​armed forces, even to their separate units and squads
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;The United States and NATO have started an impudent development of Ukrainian ​territory as a theatre of potential military operations
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;Their regular joint exercises ​are obviously anti-Russian
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;such undertakings are designed to be a cover-up for a rapid buildup ​of the NATO military group on Ukrainian territory
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;the network of airfields upgraded with US help in Borispol, Ivano-Frankovsk, ​Chuguyev and Odessa, to name a few, is capable of transferring army units ​in a very short time
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;Ukraine’s airspace is open to flights by US strategic ​and reconnaissance aircraft and drones that conduct surveillance over Russian ​territory
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;the US-built Maritime Operations Centre in Ochakov makes it ​possible to support activity by NATO warships, including the use of precision ​weapons, against the Russian Black Sea Fleet and our infrastructure ​on the entire Black Sea Coast
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;the United States intended to build similar facilities in Crimea ​as well but the Crimeans and residents of Sevastopol wrecked these plans
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;Ukraine is home to NATO training missions which are, in fact, foreign military ​bases
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;Kiev has long proclaimed a strategic course on joining NATO
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;Ukraine joining NATO is a direct threat ​to Russia's security
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;at the Bucharest NATO summit held in April 2008, ​the United States pushed through a decision to the effect that Ukraine and, ​by the way, Georgia would become NATO members
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;The Americans simply used them to carry out a clearly anti-Russian policy
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;they are trying to convince us over and over again that NATO is ​a peace-loving and purely defensive alliance that poses no threat to Russia
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;when German unification was discussed, ​the United States promised the Soviet leadership that NATO jurisdiction ​or military presence will not expand one inch to the east and that the unification ​of Germany will not lead to the spread of NATO's military organisation to the east.
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;The governments of certain Eastern ​European countries, speculating on Russophobia, brought their complexes ​and stereotypes about the Russian threat to the Alliance and insisted on building ​up the collective defence potentials and deploying them primarily against Russia
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;NATO’s ​continued expansion
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;overt support for terrorists in the North ​Caucasus
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;They just do not need a big and independent country like Russia ​around
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;one glance at the map is enough to see to what extent Western countries ​have kept their promise to refrain from NATO’s eastward expansion
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;"five waves of NATO expansion, one after another – ​Poland, the Czech Republic and Hungary were admitted in 1999; Bulgaria, ​Estonia, Latvia, Lithuania, Romania, Slovakia and Slovenia in 2004; Albania ​and Croatia in 2009; Montenegro in 2017; and North Macedonia in 2020"
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;the Alliance, its military infrastructure has reached Russia’s borders
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;positioning areas for interceptor missiles are being established in Romania ​and Poland
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;the allegedly defensive US missile defence system is ​developing and expanding its new offensive capabilities
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;expanding NATO eastward
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;moving their military ​infrastructure to Russian borders and fully ignoring our concerns, protests ​and warnings
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;to prevent further NATO expansion
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;to have the Alliance ​refrain from deploying assault weapon systems on Russian borders
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Vilification of Western Encroachment;rolling back the bloc's military capability and infrastructure in Europe to where ​they were in 1997, when the NATO-Russia Founding Act was signed
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;But these are also the result ​of deliberate efforts by those forces that have always sought to undermine our ​unity
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;if they brought about ​the weakening of Russia, our ill-wishes are happy with that
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;high-tech industrial giants that were once the pride of Ukraine ​and the entire Union, are sinking
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;The scale of deindustrialization and overall economic degradation ​is visible in Ukraine's electricity production
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;Ukraine's GDP per capita had been below ​USD 4 thousand
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;It was ​the Ukrainian authorities who waisted and frittered away the achievements ​of many generations
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;events in Kiev of 2014
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;Radicals and neo-Nazis were open and more and more insolent about their ​ambitions
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;official authorities and local oligarchs, ​who robbed the people of Ukraine
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;ready to sell their motherland for the sake of preserving their capital
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;Ukraine was dragged into a dangerous geopolitical game aimed ​at turning Ukraine into a barrier between Europe and Russia
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;against Russia
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;there came a time when the concept of ”Ukraine is not ​Russia“ was no longer an option
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;anti-Russia
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;groundwork of the Polish-Austrian ideologists to create an ”anti-Moscow Russia“
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;Radical nationalist groups served as its battering ​ram
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;Their slogans, ideology, and blatant aggressive Russophobia have to a large ​extent become defining elements of state policy in Ukraine
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;All the things that united us and bring us together so far came under attack
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;the law on the ”purification of power“, the law on education that virtually cut ​the Russian language out of the educational process
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;New seeds of discord have been sown
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;the fact is that the situation in Ukraine today is completely different because ​it involves a forced change of identity
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;aggressive towards Russia
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;comparable ​in its consequences to the use of weapons of mass destruction against us
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;the Russian people in all may decrease by hundreds of thousands or even ​millions
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;Our spiritual unity has also been attacked
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;The secular authorities, ​making no secret of their political aims, have blatantly interfered in church life ​and brought things to a split, to the seizure of churches
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;extensive autonomy of the Ukrainian Orthodox Church while ​maintaining spiritual unity with the Moscow Patriarchate strongly displeases ​them
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;They have to destroy this prominent and centuries-old symbol of our ​kinship at all costs
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;the representatives of Ukraine over and over again ​vote against the UN General Assembly resolution condemning the glorification ​of Nazism
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;Marches and torchlit processions in honor of remaining war criminals ​from the SS units take place under the protection of the official authorities
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;Mazepa, who betrayed everyone, Petliura, who paid for Polish patronage with ​Ukrainian lands, and Bandera, who collaborated with the Nazis, are ranked ​as national heroes.
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;Everything is being done to erase from the memory of young ​generations the names of genuine patriots and victors, who have always been ​the pride of Ukraine
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;Ukrainian neo-Nazis burned people alive
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;The coup d'état and the subsequent actions of the Kiev authorities inevitably ​provoked confrontation and civil war
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;Russophobia
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;it can only be sustained by the constant cultivation of the image ​of an internal and external enemy
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;we are facing the creation ​of a climate of fear in Ukrainian society, aggressive rhetoric, indulging neo-Nazis ​and militarising the country
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;the takeover of the rest of the Ukrainian economy ​and the exploitation of its natural resources
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;The sale of agricultural land is not ​far off,
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;Murderers, ​as a rule, go unpunished
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;the ”right“ patriot of Ukraine is only the one who hates Russia
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Threat Framing > Threat or Crisis Situation;a tool in someone ​else's hands to fight against us
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;The situation in Donbass has reached a critical, acute stage
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;deep ​down the aggressive and nationalistic regime that seized power in Kiev remains ​unchanged
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;t is entirely a product of the 2014 coup
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;those who then ​embarked on the path of violence, bloodshed and lawlessness
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;do not recognise now any solution to the Donbass issue other than ​a military one.
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;opposed the transition towards ​the Neanderthal and aggressive nationalism and neo-Nazism which have been ​elevated in Ukraine to the rank of national policy
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;Not a single day goes by without Donbass communities coming under shelling ​attacks
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;The recently formed large military force makes use of attack drones, ​heavy equipment, missiles, artillery and multiple rocket launchers.
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;The killing ​of civilians, the blockade, the abuse of people, including children, women ​and the elderly, continues unabated
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;there is no end in sight to this
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;we see that the ruling Kiev elites ​never stop publicly making clear their unwillingness to comply with the Minsk ​Package of Measures to settle the conflict
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;The virus of nationalist ambitions is still with us
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;the mine ​laid at the initial stage to destroy state immunity to the disease of nationalism ​was ticking
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;the increasing socioeconomic problems and the apparent ​crisis of the planned economy aggravated the ethnic issue, which essentially was ​not based on any expectations or unfulfilled dreams of the Soviet peoples but ​primarily the growing appetites of the local elites
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;Kiev failed to ratify these agreements ​and later simply refused to honour them by making demands for a share ​of the Diamond Treasury, gold reserves, as well as former USSR property ​and other assets abroad
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;officials in Kiev replaced partnership with a parasitic attitude acting at times ​in an extremely brash manner
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;continuous blackmail ​on energy transits and the fact that they literally stole gas
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;Kiev tried to use dialogue with Russia as a bargaining chip in its ​relations with the West, using the threat of closer ties with Russia ​for blackmailing the West to secure preferences by claiming that otherwise ​Russia would have a bigger influence in Ukraine
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;Ukrainian authorities – I would like to emphasise this – ​began by building their statehood on the negation of everything that united us, ​trying to distort the mentality and historical memory of millions of people, ​of entire generations living in Ukraine
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;Ukrainian society ​was faced with the rise of far-right nationalism, which rapidly developed into ​aggressive Russophobia and neo-Nazism
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;the participation ​of Ukrainian nationalists and neo-Nazis in the terrorist groups in the North ​Caucasus and the increasingly loud territorial claims to Russia
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;while reverently accommodating the geopolitical rivals ​of Russia
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;these people immediately ​betrayed their voters, going back on their election promises and instead steering ​a policy prompted by the radicals and sometimes even persecuting their former ​allies
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;These people took advantage of the fact that their voters were ​mostly law-abiding citizens with moderate views who trusted the authorities, ​and that, unlike the radicals, they would not act aggressively or make use ​of illegal instruments
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;the radicals became increasingly brazen in their actions and made ​more demands every year
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;infected with the virus of nationalism and corruption
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;Corruption, which is certainly a challenge and a problem for many countries, ​including Russia, has gone beyond the usual scope in Ukraine
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;a real ​terror campaign against those who opposed their anti-constitutional actions.
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;Politicians, journalists, and public activists were harassed and publicly ​humiliated
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;A wave of violence swept Ukrainian cities
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;One shudders at the memories of the terrible ​tragedy in Odessa, where peaceful protesters were brutally murdered, burned ​alive in the House of Trade Unions
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;The criminals who committed that atrocity ​have never been punished, and no one is even looking for them
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;pushed the country into ​the abyss of civil war.
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;the country is split
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;Ukraine is struggling ​with an acute socioeconomic crisis
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;Antonov, the famous manufacturer, has not ​made a single commercial aircraft since 2016, while Yuzhmash, a factory ​specialising in missile and space equipment, is nearly bankrupt.
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;There is no independent judiciary in Ukraine
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;The policy to root out the Russian language and culture and promote ​assimilation carries on.
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;People who identify as Russians and want to preserve ​their identity, language and culture are getting the signal that they are not ​wanted in Ukraine.
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;Under the laws on education and the Ukrainian language as a state language, ​the Russian language has no place in schools or public spaces, even in ordinary ​shops.
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;There are more and more acts enabling the Ukrainian military and law ​enforcement agencies to crack down on the freedom of speech, dissent, ​and going after the opposition.
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;Ukraine has outperformed its Western masters ​by inventing sanctions against its own citizens, companies, television channels, ​other media outlets and even members of parliament.
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;Kiev continues to prepare the destruction of the Ukrainian Orthodox Church ​of the Moscow Patriarchate
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;The Ukrainian authorities have ​cynically turned the tragedy of the schism into an instrument of state policy.
Putin, V. (2022, February). Address by the President of the Russian Federation;Threat Framing > Threat or Crisis Situation;The current authorities do not react to the Ukrainian people’s appeals to abolish ​the laws that are infringing on believers’ rights.
